county,year,totalPopulation
Denver,2008,581905
Mineral,2001,822
Mesa,2020,155954
La Plata,2019,55511
Alamosa,2012,15606
Elbert,2001,21294
San Juan,2016,697
Eagle,2013,52260
Gilpin,2002,4834
Saguache,2017,6210
Montrose,2007,39129
Custer,2009,4165
Yuma,2008,9895
Bent,2004,6362
La Plata,2017,55034
Rio Blanco,2008,6161
Pueblo,2012,160334
Washington,2004,5061
Grand,2000,12852
Crowley,2012,5838
Summit,2011,28085
Las Animas,2016,14906
Huerfano,2003,8044
Baca,2020,3474
Jackson,2010,1387
Broomfield,2006,51151
Washington,2008,4802
Las Animas,2019,14642
Morgan,2010,28196
Prowers,2005,13509
San Juan,2002,599
Costilla,2015,3515
Rio Grande,2006,12432
Yuma,2009,10032
Boulder,2013,310897
Rio Grande,2014,11823
Costilla,2010,3532
Routt,2011,23481
Arapahoe,2022,659119
Mineral,2007,808
Custer,2006,4023
Broomfield,2020,74464
Routt,2010,23439
Larimer,2016,339130
Rio Grande,2008,12106
Lincoln,2006,5668
Hinsdale,2013,825
San Juan,2018,702
Teller,2013,23107
San Juan,2019,709
Garfield,2004,48159
Denver,2003,560350
Yuma,2013,10138
Costilla,2014,3516
El Paso,2017,704798
Denver,2006,562863
Alamosa,2008,15345
Phillips,2015,4504
Douglas,2017,335935
Archuleta,2020,13422
Las Animas,2001,15314
Kiowa,2021,1452
Weld,2001,192478
Huerfano,2017,6739
Washington,2017,4844
Chaffee,2019,19392
Rio Blanco,2006,5978
Yuma,2000,9815
Douglas,2001,199035
Arapahoe,2019,653803
Grand,2017,15144
Grand,2019,15406
Kit Carson,2018,7280
Sedgwick,2014,2384
Denver,2002,559088
Custer,2013,4407
Larimer,2012,310950
Baca,2007,3998
Alamosa,2022,16509
Hinsdale,2017,806
Archuleta,2000,10042
Rio Grande,2010,12001
Cheyenne,2002,2164
Rio Grande,2000,12429
Prowers,2021,11978
San Miguel,2014,7730
Denver,2014,658631
Crowley,2005,5436
Huerfano,2006,7749
Rio Blanco,2004,5903
Mesa,2015,148772
Montrose,2000,33579
Cheyenne,2021,1716
Jefferson,2009,532604
Pitkin,2002,16102
Saguache,2021,6506
Kiowa,2006,1517
Jackson,2015,1377
Gilpin,2019,5750
Lincoln,2002,6046
Adams,2015,490350
El Paso,2009,608519
Gunnison,2006,14648
Yuma,2020,9976
Custer,2000,3518
Kiowa,2015,1406
Boulder,2003,282761
Yuma,2012,10077
Routt,2005,21456
La Plata,2013,53140
Prowers,2015,11885
Park,2003,15787
San Miguel,2021,8080
Broomfield,2001,41386
Pueblo,2011,159837
Yuma,2004,9887
Douglas,2003,221146
Fremont,2015,47213
Hinsdale,2005,808
Prowers,2016,11884
Hinsdale,2019,802
Cheyenne,2015,1806
Crowley,2011,5831
Garfield,2002,46728
Boulder,2010,295605
Delta,2010,30889
Jefferson,2008,530564
Yuma,2006,9919
Clear Creek,2021,9453
Eagle,2014,52402
Clear Creek,2014,9039
Archuleta,2006,11800
Morgan,2011,28427
Custer,2007,4124
Jefferson,2012,546628
Mineral,2004,850
Bent,2006,6076
El Paso,2006,582501
Cheyenne,2004,2058
Conejos,2003,8387
San Miguel,2010,7356
Jefferson,2000,526716
Kit Carson,2021,6923
Ouray,2011,4405
Rio Blanco,2001,5880
Costilla,2005,3696
Mesa,2011,147962
Morgan,2006,27983
Huerfano,2021,6940
Garfield,2006,51106
Otero,2019,18738
Boulder,2007,288754
Sedgwick,2007,2425
Pitkin,2009,17056
Hinsdale,2020,791
Summit,2014,29494
Otero,2015,18819
Summit,2016,30821
Yuma,2016,10051
Clear Creek,2015,9160
Bent,2020,5624
Morgan,2002,27663
Pitkin,2018,17646
Bent,2000,5966
Delta,2004,29452
Otero,2004,19561
Grand,2006,14137
San Miguel,2001,6901
Pitkin,2004,16077
Broomfield,2009,55378
Washington,2003,5141
Adams,2021,522509
Mesa,2022,157636
Alamosa,2011,15525
Costilla,2020,3507
Boulder,2014,314218
Otero,2014,18781
Summit,2021,30970
Arapahoe,2006,536049
Gilpin,2022,5948
Dolores,2017,2085
Boulder,2000,276254
Lincoln,2022,5662
Morgan,2000,27250
Gunnison,2014,15553
Crowley,2006,5708
Rio Grande,2009,11996
Washington,2001,4895
Rio Blanco,2021,6463
Douglas,2018,343263
Lake,2017,7355
San Miguel,2004,7024
Douglas,2006,257832
Lake,2003,7521
Archuleta,2008,12070
Lincoln,2011,5488
Adams,2011,452178
Jefferson,2010,535651
Kit Carson,2003,8186
Jefferson,2019,582571
Weld,2009,248959
Adams,2000,351734
Montezuma,2011,25522
Denver,2004,560225
Saguache,2018,6272
Gilpin,2000,4807
Pueblo,2018,166685
Jackson,2013,1389
Routt,2003,21125
Otero,2002,19625
Costilla,2013,3517
San Juan,2011,710
Douglas,2011,292625
Delta,2001,28388
Gilpin,2010,5463
Pitkin,2007,16235
Summit,2010,28073
Lake,2004,7414
Washington,2021,4860
Washington,2020,4811
La Plata,2008,50074
Morgan,2013,28250
Boulder,2006,286134
El Paso,2000,519803
Park,2007,16337
Montezuma,2014,25469
Teller,2002,21988
Denver,2017,693136
Elbert,2005,22259
Delta,2003,29067
Gunnison,2012,15269
Dolores,2002,1880
Costilla,2018,3512
Elbert,2002,21606
El Paso,2013,658303
Archuleta,2015,12006
Crowley,2022,5977
Gilpin,2003,4847
Arapahoe,2021,655580
San Miguel,2003,7013
Mesa,2021,157320
Chaffee,2002,16642
Douglas,2021,369287
Lake,2000,7939
Jackson,2012,1378
Elbert,2009,22892
Mesa,2014,147877
Hinsdale,2018,799
Gunnison,2000,13988
Sedgwick,2006,2510
Pitkin,2011,17130
Chaffee,2014,18065
La Plata,2021,56280
Arapahoe,2004,523717
Pueblo,2021,169503
Weld,2008,244115
Phillips,2001,4488
Baca,2015,3533
Lincoln,2003,6058
Prowers,2022,11968
Eagle,2016,53041
Mineral,2022,944
Routt,2018,24312
Conejos,2008,8383
Costilla,2011,3520
Custer,2015,4467
Kiowa,2008,1430
Elbert,2019,25671
San Miguel,2011,7486
Otero,2000,20244
Clear Creek,2003,9514
Grand,2004,13917
Clear Creek,2002,9462
Fremont,2020,49017
Elbert,2000,20102
Weld,2014,275995
Ouray,2015,4551
Dolores,2005,1886
Boulder,2011,300524
Clear Creek,2019,9416
Archuleta,2010,12060
Alamosa,2003,15358
Fremont,2000,46369
Fremont,2021,49636
Las Animas,2022,14443
Rio Grande,2018,11647
Jefferson,2003,525428
Huerfano,2008,7676
Garfield,2022,62814
Gilpin,2011,5480
Pueblo,2009,157323
Fremont,2017,47574
Crowley,2021,6016
Chaffee,2016,18518
Yuma,2011,10110
Kiowa,2022,1455
Phillips,2021,4496
La Plata,2002,46087
Arapahoe,2009,566477
Custer,2016,4499
Gunnison,2010,15309
Crowley,2001,5249
Rio Blanco,2014,6652
Larimer,2008,292389
Garfield,2007,52677
Lake,2006,7219
Rio Grande,2007,12166
Mesa,2008,140678
Broomfield,2011,57575
Kit Carson,2007,7835
Kiowa,2019,1457
La Plata,2009,50760
Baca,2004,4163
La Plata,2001,45648
Jefferson,2004,524880
Saguache,2001,6080
Otero,2005,19370
Morgan,2021,28982
Pitkin,2022,17096
Garfield,2017,58875
Jackson,2006,1441
Custer,2010,4272
Pitkin,2006,16087
Alamosa,2009,15305
Larimer,2011,305343
Pitkin,2014,17522
San Juan,2022,733
Jackson,2021,1359
Archuleta,2001,10464
Conejos,2016,7844
Larimer,2013,316340
Douglas,2005,244445
Logan,2001,22359
Las Animas,2006,15554
Morgan,2007,27849
Huerfano,2018,6756
Huerfano,2013,6701
Gunnison,2021,17293
Kit Carson,2013,8011
Lincoln,2014,5542
Jackson,2017,1379
Archuleta,2007,12104
Arapahoe,2005,528217
Weld,2005,223431
Prowers,2020,12001
Elbert,2008,22664
Rio Blanco,2022,6399
Archuleta,2021,13802
Crowley,2013,5847
Gilpin,2016,5578
Weld,2021,340131
Larimer,2022,363995
Summit,2003,26707
Baca,2001,4445
Cheyenne,2007,1911
Lincoln,2019,5645
Fremont,2003,46825
Rio Grande,2019,11600
Yuma,2022,9987
Teller,2017,24156
Sedgwick,2005,2575
Yuma,2002,9949
Grand,2008,14531
Lake,2001,7819
Las Animas,2011,15325
Logan,2019,21507
Otero,2020,18663
Boulder,2008,291826
Lincoln,2007,5570
Custer,2018,4589
Eagle,2012,52159
Summit,2019,31186
Fremont,2008,46777
Routt,2007,22410
Prowers,2019,12013
Clear Creek,2009,9064
Montezuma,2019,25731
Sedgwick,2019,2404
Saguache,2000,5982
Clear Creek,2017,9424
Pueblo,2002,146482
Montezuma,2006,25017
Eagle,2000,43288
Jackson,2016,1377
Jefferson,2005,523518
Jackson,2007,1423
Washington,2000,4942
Las Animas,2000,15286
Douglas,2009,282161
Huerfano,2005,7821
Chaffee,2001,16411
Huerfano,2010,6655
Prowers,2013,12287
Weld,2002,198974
Elbert,2003,21938
Jackson,2004,1522
La Plata,2006,48408
Adams,2017,503705
Kiowa,2009,1393
Costilla,2008,3614
Ouray,2010,4446
Dolores,2007,2003
Mineral,2006,791
Garfield,2014,57131
Archuleta,2004,11169
Archuleta,2011,11957
Routt,2006,21889
Mineral,2018,812
Custer,2005,4045
Custer,2021,5051
Weld,2007,238279
Routt,2012,23530
Prowers,2001,14106
Douglas,2022,377022
Park,2022,17825
Routt,2016,23951
Saguache,2011,6159
Washington,2002,5255
Pitkin,2010,17156
Yuma,2010,10032
Gilpin,2006,4953
Adams,2007,415917
Conejos,2002,8388
Mesa,2019,155117
Rio Grande,2002,12407
Morgan,2019,29131
Routt,2009,23325
Park,2008,16277
Larimer,2004,273262
Teller,2000,21067
Summit,2007,27168
Chaffee,2011,17937
Larimer,2007,286752
Elbert,2013,23184
Grand,2022,15948
Boulder,2022,330316
Eagle,2020,55639
Gunnison,2004,14226
Logan,2015,21874
Chaffee,2021,20095
Gunnison,2002,14310
Delta,2000,27910
Boulder,2015,320350
Rio Blanco,2012,6793
Gunnison,2016,16084
Lake,2019,7555
San Juan,2012,702
Washington,2014,4610
Bent,2016,5754
Huerfano,2014,6703
Mineral,2005,805
